종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005380,현대차
373220,LG에너지솔루션
005935,삼성전자우
207940,삼성바이오로직스
012450,한화에어로스페이스
329180,HD현대중공업
000270,기아
034020,두산에너빌리티
402340,SK스퀘어
105560,KB금융
028260,삼성물산
068270,셀트리온
042660,한화오션
012330,현대모비스
055550,신한지주
035420,NAVER
015760,한국전력
032830,삼성생명
267260,HD현대일렉트릭
010130,고려아연
009540,HD한국조선해양
005490,POSCO홀딩스
010140,삼성중공업
086790,하나금융지주
196170,알테오젠
006400,삼성SDI
035720,카카오
051910,LG화학
064350,현대로템
000810,삼성화재
298040,효성중공업
009150,삼성전기
034730,SK
086280,현대글로비스
316140,우리금융지주
267250,HD현대
011200,HMM
138040,메리츠금융지주
006800,미래에셋증권
096770,SK이노베이션
003670,포스코퓨처엠
066570,LG전자
272210,한화시스템
033780,KT&G
042700,한미반도체
024110,기업은행
047810,한국항공우주
010120,LS ELECTRIC
0126Z0,삼성에피스홀딩스
352820,하이브
247540,에코프로비엠
018260,삼성에스디에스
003550,LG
030200,KT
000150,두산
307950,현대오토에버
086520,에코프로
017670,SK텔레콤
079550,LIG넥스원
000720,현대건설
259960,크래프톤
047050,포스코인터내셔널
298380,에이비엘바이오
005387,현대차2우B
071050,한국금융지주
010950,S-Oil
323410,카카오뱅크
277810,레인보우로보틱스
000880,한화
326030,SK바이오팜
003490,대한항공
003230,삼양식품
278470,에이피알
005830,DB손해보험
039490,키움증권
180640,한진칼
007660,이수페타시스
000100,유한양행
443060,HD현대마린솔루션
005940,NH투자증권
161390,한국타이어앤테크놀로지
016360,삼성증권
090430,아모레퍼시픽
454910,두산로보틱스
064400,LG씨엔에스
006260,LS
028300,HLB
011070,LG이노텍
005385,현대차우
377300,카카오페이
000250,삼천당제약
032640,LG유플러스
022100,포스코DX
950160,코오롱티슈진
034220,LG디스플레이
029780,삼성카드
141080,리가켐바이오
241560,두산밥캣
128940,한미약품
087010,펩트론
078930,GS
021240,코웨이
088980,맥쿼리인프라
001040,CJ
052690,한전기술
036570,엔씨소프트
058470,리노공업
028050,삼성E&A
001440,대한전선
009830,한화솔루션
066970,엘앤에프
082740,한화엔진
138930,BNK금융지주
271560,오리온
175330,JB금융지주
062040,산일전기
214450,파마리서치
004020,현대제철
251270,넷마블
011790,SKC
214370,케어젠
051900,LG생활건강
450080,에코프로머티
347850,디앤디파마텍
108490,로보티즈
319400,현대무벡스
002380,KCC
302440,SK바이오사이언스
214150,클래시스
035250,강원랜드
240810,원익IPS
000990,DB하이텍
039030,이오테크닉스
011780,금호석유화학
111770,영원무역
036460,한국가스공사
017800,현대엘리베이터
310210,보로노이
0009K0,에임드바이오
103140,풍산
030530,원익홀딩스
031210,서울보증보험
018880,한온시스템
071970,HD현대마린엔진
204320,HL만도
011170,롯데케미칼
097950,CJ제일제당
103590,일진전기
004990,롯데지주
403870,HPSP
012510,더존비즈온
012750,에스원
145020,휴젤
226950,올릭스
088350,한화생명
014680,한솔케미칼
140410,메지온
489790,한화비전
004170,신세계
068760,셀트리온제약
009420,한올바이오파마
008930,한미사이언스
439260,대한조선
041510,에스엠
042670,HD현대인프라코어
263750,펄어비스
001430,세아베스틸지주
004800,효성
353200,대덕전자
237690,에스티팜
051600,한전KPS
026960,동서
000240,한국앤컴퍼니
004370,농심
009970,영원무역홀딩스
011210,현대위아
058610,에스피지
035900,JYP Ent.
336260,두산퓨얼셀
257720,실리콘투
383220,F&F
475830,오름테라퓨틱
005850,에스엘
001720,신영증권
001450,현대해상
357780,솔브레인
030000,제일기획
097230,HJ중공업
457190,이수스페셜티케미컬
081660,미스토홀딩스
437730,삼현
476830,알지노믹스
139480,이마트
028670,팬오션
000120,CJ대한통운
139130,iM금융지주
095340,ISC
003690,코리안리
010060,OCI홀딩스
267270,HD현대건설기계
023530,롯데쇼핑
069960,현대백화점
192820,코스맥스
000155,두산우
018670,SK가스
098460,고영
005290,동진쎄미켐
160190,하이젠알앤엠
002790,아모레퍼시픽홀딩스
462870,시프트업
361610,SK아이이테크놀로지
090710,휴림로봇
282330,BGF리테일
064760,티씨케이
222800,심텍
445680,큐리옥스바이오시스템즈
017960,한국카본
083650,비에이치아이
466100,클로봇
084370,유진테크
047040,대우건설
069620,대웅제약
006280,녹십자
003570,SNT다이내믹스
020150,롯데에너지머티리얼즈
006040,동원산업
008770,호텔신라
089030,테크윙
00680K,미래에셋증권2우B
067310,하나마이크론
023590,다우기술
007070,GS리테일
073240,금호타이어
483650,달바글로벌
395400,SK리츠
112610,씨에스윈드
375500,DL이앤씨
065350,신성델타테크
032350,롯데관광개발
140860,파크시스템스
039200,오스코텍
178320,서진시스템
458870,씨어스테크놀로지
006360,GS건설
020560,아시아나항공
085620,미래에셋생명
034230,파라다이스
491000,리브스메드
007310,오뚜기
484870,엠앤씨솔루션
000500,가온전선
077970,STX엔진
161890,한국콜마
060370,LS마린솔루션
036930,주성엔지니어링
007810,코리아써키트
005070,코스모신소재
101490,에스앤에스텍
456160,지투지바이오
007340,DN오토모티브
001120,LX인터내셔널
253450,스튜디오드래곤
348370,엔켐
003540,대신증권
290650,엘앤씨바이오
035760,CJ ENM
294870,HDC현대산업개발
099320,쎄트렉아이
195940,HK이노엔
122870,와이지엔터테인먼트
323280,태성
005440,현대지에프홀딩스
051915,LG화학우
031980,피에스케이홀딩스
001800,오리온홀딩스
298020,효성티앤씨
007390,네이처셀
293490,카카오게임즈
003090,대웅
000080,하이트진로
100090,SK오션플랜트
003380,하림지주
096530,씨젠
300720,한일시멘트
056080,유진로봇
249420,일동제약
330590,롯데리츠
415640,KB발해인프라
071320,지역난방공사
232140,와이씨
085660,차바이오텍
319660,피에스케이
005300,롯데칠성
075580,세진중공업
229640,LS에코에너지
285130,SK케미칼
120110,코오롱인더
004000,롯데정밀화학
185750,종근당
388720,유일로보틱스
376900,로킷헬스케어
328130,루닛
030610,교보증권
000815,삼성화재우
