LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,V23_ATR_Pct,V23_OBV_Slope,V23_Upper_Shadow_Ratio,V23_SIGNAL_STATUS,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),KELLY_ENGINE,KELLY_ERROR,추천수량,STRATEGY_SCORE,STRATEGY_HORIZON,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON,ENTRY_RISK_FLAG,ENTRY_RISK_LEVEL,ENTRY_RISK_RULE,ENTRY_RISK_REASON
1,004020,현대제철,KOSPI,철강·금속,43450,693.09,57982.2,0.0,,ARMED,ARMED,2,True,1,False,83.4,83.4,87.6,86.7,67.7,0.0,78.1,80.7,19.9,75.1,1.71,0.0,RR1.7 + 진입적정 + 3축고점 + 대기,1,43450.0,39500.0,50200.0,55000.0,,0.09,1.01,40614,38.82,특이사항 없음,1,6.68,52.7,1.84,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CRITICAL,30.9,1차 철강 제조업,69309271350.0,59.6,19.52,1,0,-5.85,-0.46,2.12,9.31,29.7,43.87,-11.41,-6.78,-46.24,0.101,0.101,1,12.0,0,0,1.19,0.44,0,0,0,1,1,39895.0,6.98,0.1009,False,O,▲,44363,▲,X,X,0.11,250,0,1,1,1,,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,9.09,4.0,1.7,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,,0,0.0,1차 철강 제조업,-2.7444444444444445,0.1399999999999993,4.0,0.07537399309551208,0.18421033903686818,0.10576923076923077,OK,67.7,OK,57.403784637325494,57.403784637325494,10,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,83.4,83.4,83.4,36.48,0.45,FRESH,0.568,,False,0.399,True,MATURE,6272.0,1.709,1.14,1.14,0.0,0.0,v22_calibrated,,,,,,,,,True,15.5,AGGRESSIVE,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
2,052900,KX하이텍,KOSDAQ,기타,1492,73.58,1036.7,0.0,,ARMED,ARMED,2,True,1,False,88.7,87.8,95.4,70.1,89.1,0.9,77.2,84.9,25.3,68.4,1.69,0.0,RR1.7 + 진입적정 + 3축고점 + 대기,1,1492.0,1268.0,1870.0,2080.0,,1.18,1.01,1430,15.68,[뉴스]KX하이텍은 1분기 반도체 호황에 힘입어 성공적인 흑자 전환을 달성하며 긍정적인 실적을 기록했습니다.,1,3.06,57.9,11.52,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,30.9,플라스틱제품 제조업,7358449387.0,75.8,50.18,0,0,-1.58,12.18,24.64,19.84,11.93,66.52,24.3,11.48,40.07,0.249,0.249,1,12.0,0,0,2.75,0.46,0,0,0,1,1,1272.6,4.33,0.2007,False,O,▲,1586,▲,X,X,1.91,250,0,1,1,1,2405.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.01,6.0,1.7,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,플라스틱제품 제조업,-3.9532,-1.33936,6.0,0.11178667177326694,0.44145089314977815,0.35046728971962615,OK,89.1,OK,54.957415349719184,54.957415349719184,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518, 📢재료: [뉴스]KX하이텍은 1분기 반도체 호황에 힘입어 성공적인 흑자 전환을 달성하며 긍정적인 실적을 기록했습니다.,88.7,88.7,88.7,36.48,0.45,FRESH,0.58,,False,0.441,True,MATURE,6272.0,1.688,1.194,1.194,0.0,0.0,v22_calibrated,,,,,,,,,True,25.3,AGGRESSIVE,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
3,033160,엠케이전자,KOSDAQ,IT/전기전자,27700,216.4,6699.3,0.0,,ATTACK,ATTACK,1,True,1,False,84.8,84.8,92.8,73.2,77.1,0.0,76.1,81.0,19.6,75.5,0.86,0.0,진입적정 + 3축고점 + 돌입,0,27700.0,23500.0,31300.0,37650.0,⚡눌림회복,0.96,0.79,19529,186.72,특이사항 없음,1,3.66,47.1,0.34,STRUCT 강점,AI 보조,,기술적 돌파 조건 충족,CRITICAL,30.9,전자부품 제조업,21639729025.0,41.6,22.15,1,0,-2.64,0.0,-0.72,15.42,179.23,236.98,19.88,178.78,210.53,0.061,0.061,1,12.0,0,0,2.44,0.56,0,0,0,1,1,21150.0,41.84,0.1717,False,O,▲,27498,▲,O,X,-7.91,250,0,1,1,1,45650.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.16,5.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,전자부품 제조업,-5.460217391304347,3.1239130434782605,3.0,0.10263022176379577,-0.0012429465493851537,0.09375,OK,77.1,OK,40.18138890025686,40.18138890025686,10,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,84.8,84.8,84.8,36.48,0.45,FRESH,0.594,,False,0.41,True,MATURE,6272.0,0.857,1.187,0.857,0.0,0.0,v22_calibrated,,,,,,,,,True,13.0,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
4,214320,이노션,KOSPI,미디어·콘텐츠,21200,90.9,8480.0,0.0,,ATTACK,ATTACK,1,True,1,False,87.9,87.9,100.0,100.0,39.5,0.0,72.0,79.8,60.5,24.4,1.12,0.0,RR1.1 + 진입적정 + 돌입,0,21200.0,19910.0,22650.0,24050.0,,1.8,1.65,19450,15.82,특이사항 없음,0,4.21,68.5,7.77,STRUCT 강점,TIMING 보조,,기술적 돌파 조건 충족,CRITICAL,30.9,광고업,9089872800.0,78.1,13.22,0,0,1.68,7.94,7.07,14.04,4.18,20.11,-6.68,-32.3,-70.0,0.0,0.0,1,7.6,0,1,2.54,0.65,0,0,0,1,1,18736.0,8.99,0.0658,False,O,▲,20504,▲,O,X,-2.16,250,0,1,1,1,25850.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,6.08,5.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,광고업,-3.028,-18.434,12.0,0.038005390835579515,2.0,0.23076923076923078,OK,39.5,OK,78.0,78.0,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,87.9,87.9,87.9,36.48,0.45,FRESH,0.587,,False,0.435,True,MATURE,6272.0,1.124,1.194,1.124,0.0,0.0,v22_calibrated,,,,,,,,,True,6.8,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
5,254490,미래반도체,KOSDAQ,기타,31600,405.82,4562.4,0.0,,ARMED,ARMED,2,True,1,False,85.2,85.2,92.2,69.6,85.3,0.0,75.8,82.4,22.6,71.7,3.42,0.0,RR3.4 + 진입적정 + 3축고점 + 대기,0,31600.0,26850.0,47850.0,52400.0,,-0.12,0.84,27532,71.1,특이사항 없음,0,32.5,62.5,14.68,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,30.9,기타 전문 도매업,40582143850.0,74.8,121.9,0,0,-22.93,-21.2,35.33,71.46,78.63,105.6,75.92,78.18,79.15,0.094,0.024,1,12.0,1,0,2.14,0.46,0,0,0,1,1,24047.0,14.77,-0.4464,False,O,▲,41288,▲,X,X,-2.56,250,0,1,1,1,56700.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.03,6.0,3.4,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,기타 전문 도매업,-3.9532,-1.33936,6.0,0.1872739602169982,0.16967549743904448,0.0,OK,85.3,OK,48.063003545714395,48.063003545714395,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,85.2,85.2,85.2,36.48,0.45,FRESH,0.598,,False,0.413,True,MATURE,6272.0,3.421,1.194,1.194,0.0,0.0,v22_calibrated,,,,,,,,,True,51.4,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
6,000815,삼성화재우,KOSPI,기타,387000,102.02,11637.2,0.0,,ARMED,ARMED,2,True,1,False,74.4,74.4,69.8,100.0,55.1,0.0,70.8,75.0,44.9,43.9,4.89,0.0,RR4.9 + 진입적정 + 대기,0,387000.0,369500.0,472500.0,496500.0,,0.59,1.17,386290,3.27,특이사항 없음,5,1.23,72.2,3.05,TIMING 강점,STRUCT 보조,RSI 과열,스퀴즈/품질 대기,CRITICAL,30.9,기타,10202339500.0,66.2,5.45,1,1,1.31,1.98,3.89,2.93,-8.62,11.05,-17.79,-45.1,-79.06,0.219,0.145,1,6.0,0,1,1.01,0.81,0,0,0,1,-1,391400.0,0.18,0.0209,True,O,▲,381526,▲,O,X,0.0,250,0,1,1,1,,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,4.52,5.0,4.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_60D,60,RR_LEGACY,35,,0,0.0,기타,-3.9532,-1.33936,6.0,0.024178663713547432,0.5988303808946843,0.0,OK,55.1,OK,83.7487324547401,83.7487324547401,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,74.4,74.4,74.4,36.48,0.45,FRESH,0.578,,False,0.327,True,MATURE,6272.0,4.886,0.855,0.855,0.0,0.0,v22_calibrated,,,,,,,,,True,22.1,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
7,138360,앤로보틱스,KOSDAQ,조선·기계·설비,3590,104.49,2764.0,0.0,,ARMED,ARMED,2,True,1,False,83.4,83.4,97.2,55.8,80.0,0.0,66.6,77.7,41.4,48.2,2.57,0.0,RR2.6 + 진입적정 + 대기,0,3590.0,3050.0,4980.0,5770.0,,-0.29,0.42,3049,121.98,특이사항 없음,0,53.51,63.0,10.58,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,30.9,특수 목적용 기계 제조업,10449062917.0,82.6,84.51,0,0,-8.77,0.56,-4.77,68.54,57.11,274.35,73.0,56.66,247.9,0.047,0.047,1,12.0,1,0,2.39,0.52,0,0,0,1,1,2903.0,17.71,-0.152,False,O,▲,3842,▼,X,X,4.83,249,0,1,1,1,5910.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.04,6.0,2.6,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,특수 목적용 기계 제조업,-1.6224285714285716,14.934714285714287,2.0,0.1729009152407481,0.09478898845663644,0.2413793103448276,OK,80.0,OK,30.330948142030678,30.330948142030678,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,83.4,83.4,83.4,36.48,0.45,FRESH,0.547,,False,0.399,True,MATURE,6272.0,2.574,1.14,1.14,0.0,0.0,v22_calibrated,,,,,,,,,True,38.7,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
8,092790,넥스틸,KOSPI,철강·금속,18930,151.37,4922.2,0.0,,ARMED,ARMED,2,True,1,False,81.6,81.6,100.0,47.7,73.6,0.0,60.7,73.8,52.3,34.6,1.43,0.0,RR1.4 + 진입적정 + 대기,0,18930.0,16090.0,23000.0,23700.0,,1.84,0.5,16703,16.71,특이사항 없음,0,10.85,57.4,2.36,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,30.9,1차 철강 제조업,15136992530.0,83.9,44.36,0,0,-8.55,1.34,-6.75,17.0,66.05,82.37,-3.72,29.57,-7.74,0.165,0.165,1,12.0,0,0,2.19,0.47,0,0,0,1,-1,24790.0,13.33,0.0282,False,O,▲,19381,▼,X,X,-6.67,250,0,1,1,1,27200.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,6.0,1.4,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,1차 철강 제조업,-2.7444444444444445,0.1399999999999993,4.0,0.12478303524262321,0.03551358502558883,0.11188811188811189,OK,73.6,OK,38.09849609376809,38.09849609376809,8,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,81.6,81.6,81.6,36.48,0.45,FRESH,0.535,,False,0.384,True,MATURE,6272.0,1.433,1.079,1.079,0.0,0.0,v22_calibrated,,,,,,,,,True,21.5,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
9,112290,와이씨켐,KOSDAQ,화학·소재,14430,143.81,2917.9,0.0,,ARMED,ARMED,2,True,1,False,79.8,79.8,99.2,68.8,40.0,0.0,60.3,69.3,59.2,26.0,1.51,0.0,RR1.5 + 진입적정 + 대기,0,14430.0,12260.0,17700.0,20450.0,,-0.62,1.0,14051,20.62,특이사항 없음,0,12.19,61.2,5.72,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,CRITICAL,30.9,기타 화학제품 제조업,14381092975.0,65.1,50.29,0,0,1.12,-10.82,2.7,23.02,19.45,43.88,27.48,19.0,17.43,0.127,0.127,1,12.0,1,0,2.04,0.45,0,0,0,1,1,12422.0,2.69,-0.5784,False,O,▲,15683,▼,X,X,-2.24,250,0,1,1,1,22200.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.04,6.0,1.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,기타 화학제품 제조업,-8.170697674418605,-7.311162790697674,11.0,0.1190971190971191,0.0025346597396844086,0.2983425414364641,OK,40.0,OK,54.81985417570429,54.81985417570429,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,79.8,79.8,79.8,36.48,0.45,FRESH,0.535,,False,0.37,True,MATURE,6272.0,1.507,1.018,1.018,0.0,0.0,v22_calibrated,,,,,,,,,True,22.7,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
10,012200,계양전기,KOSPI,조선·기계·설비,8770,154.35,2387.4,0.0,,ARMED,ARMED,2,True,1,False,77.8,77.8,93.5,40.6,81.1,0.0,57.8,71.7,52.9,33.9,3.89,0.0,RR3.9 + 진입적정 + 대기,0,8770.0,7450.0,13900.0,14270.0,,0.9,0.3,9243,22.64,특이사항 없음,0,3.33,58.7,11.49,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,CRITICAL,30.9,일반 목적용 기계 제조업,15434540770.0,83.4,85.44,0,0,-2.66,3.66,25.29,31.09,17.56,526.88,10.37,-18.92,436.77,0.412,0.18,1,12.0,1,0,4.52,0.33,0,0,0,1,-1,13601.0,-5.13,-0.5284,False,O,▲,10378,▲,X,X,0.0,247,0,1,1,1,16210.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.05,6.0,3.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_120D,45,FIBO_1.272,40,0.0,일반 목적용 기계 제조업,-1.6224285714285716,14.934714285714287,2.0,0.15108323831242873,0.14847501396740467,0.05813953488372093,OK,81.1,OK,29.375359293157924,29.375359293157924,6,1,0.55,0.25,0.2,STRUCT+TIMING+AI+SECTOR,default,50,20260518,20260518,,77.8,77.8,77.8,36.48,0.45,FRESH,0.535,,False,0.354,True,MATURE,6272.0,3.886,0.951,0.951,0.0,0.0,v22_calibrated,,,,,,,,,True,58.5,,ELITE_SCORE,MATURE,6272,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,,0,GREEN,,
