LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,LEGACY_EST_WIN_RATE,LEGACY_LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,KELLY_PLANNED_B,KELLY_EMPIRICAL_B,KELLY_FINAL_B,KELLY_FRACTION,켈리_금액(원),추천수량,KELLY_ENGINE,KELLY_ERROR,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,TOP_PICK_TYPE,EST_WIN_RATE_METHOD,EST_WIN_RATE_MODE,EST_WIN_RATE_N,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR,CARRY_FAIL_REASON
1,018880,한온시스템,KOSPI,조선·기계·설비,4770,1334.89,48952.7,0.0,,ARMED,ARMED,2,True,1,False,86.60000000000001,86.9,97.5,83.9,71.6,-0.3,79.4,84.3,25.9,67.6,1.42,0.0,RR1.4 + 진입적정 + 3축고점 + 대기,1,4770.0,4200.0,5580.0,5700.0,,1.69,1.03,4583,1.36,[뉴스]한온시스템의 주요 주주인 한국앤컴퍼니 회장의 징역형 확정으로 간접적인 투자 심리 위축이 예상됩니다.,0,7.34,63.2,10.64,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,48.8,일반 목적용 기계 제조업,133489490667.0,77.8,35.92,0,0,-2.65,9.53,14.25,20.76,18.36,16.51,14.19,-1.54,-19.32,0.068,0.068,1,12.0,1,0,2.31,0.54,0,0,0,1,1,4178.0,4.07,0.3184,False,O,▲,4854,▲,X,X,-1.12,250,0,1,1,1,5950.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,11.95,5.0,1.4,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,0.0,일반 목적용 기계 제조업,5.413733333333333,28.719466666666666,3.0,71.6,OK,55.50017386264657,55.50017386264657,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508, 📢재료: [뉴스]한온시스템의 주요 주주인 한국앤컴퍼니 회장의 징역형 확정으로 간접적인 투자 심리 위축이 예상됩니다.,86.60000000000001,86.60000000000001,86.60000000000001,19.9,19.9,FRESH,0.633,,False,0.454,False,MATURE,5320.0,1.421,1.2,1.2,0.0,0.0,,v22_calibrated,,,,,,True,17.0,AGGRESSIVE,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
2,003530,한화투자증권,KOSPI,서비스 기타,8550,611.7,18343.8,0.0,,ARMED,ARMED,2,True,1,False,83.9,83.9,98.4,73.5,75.5,0.0,76.4,82.5,24.9,68.9,1.33,0.0,RR1.3 + 진입적정 + 3축고점 + 대기,1,8550.0,7550.0,9880.0,10300.0,,1.05,1.15,8147,16.42,특이사항 없음,0,9.06,63.0,9.97,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,48.8,금융 지원 서비스업,61169834875.0,77.2,29.15,0,0,0.71,9.2,10.47,18.75,33.39,60.71,12.18,13.49,24.88,0.137,0.137,1,12.0,1,0,2.19,0.56,0,0,0,1,1,7424.0,4.94,0.2621,False,O,▲,8475,▲,O,X,-2.59,250,0,1,1,1,10530.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,11.7,5.0,1.3,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,0.0,금융 지원 서비스업,3.2796969696969693,10.733030303030302,10.0,75.5,OK,59.402213537771765,59.402213537771765,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,83.9,83.9,83.9,19.9,19.9,FRESH,0.694,,False,0.432,True,MATURE,5320.0,1.33,1.164,1.164,0.0,0.0,,v22_calibrated,,,,,,True,15.6,AGGRESSIVE,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
3,017550,수산세보틱스,KOSPI,조선·기계·설비,3600,337.3,2246.4,0.0,,ARMED,ARMED,2,True,1,False,92.0,92.0,100.0,87.7,84.5,0.0,87.1,90.7,15.5,80.6,0.82,0.0,밸런스우수 + 진입적정 + 3축고점 + 대기,0,3600.0,3060.0,4045.0,4800.0,,2.1,0.87,3151,22.41,[뉴스]수산세보틱스가 5월 7일 기업 공시를 발표했습니다.,0,23.63,62.3,10.8,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,48.8,특수 목적용 기계 제조업,33730012402.0,83.6,29.11,0,0,-6.74,14.29,1.12,33.33,103.05,112.64,26.76,83.15,76.81,0.0,0.0,1,12.0,0,0,4.23,0.72,0,0,0,1,1,2794.0,14.23,0.3083,False,O,▲,3299,▲,O,X,-6.61,250,0,1,1,1,5510.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,6.0,0.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,0.0,특수 목적용 기계 제조업,5.413733333333333,28.719466666666666,3.0,84.5,OK,57.30609940188817,57.30609940188817,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508, 📢재료: [뉴스]수산세보틱스가 5월 7일 기업 공시를 발표했습니다.,92.0,92.0,92.0,19.9,19.9,FRESH,0.518,,False,0.497,False,MATURE,5320.0,0.824,1.2,0.824,0.0,0.0,,v22_calibrated,,,,,,True,12.4,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
4,089010,켐트로닉스,KOSDAQ,화학·소재,41050,198.19,6884.1,0.0,,ARMED,ARMED,2,True,1,False,81.4,81.4,94.2,65.5,87.6,0.0,73.9,82.4,28.7,64.1,1.45,0.0,RR1.4 + 진입적정 + 3축고점 + 대기,0,41050.0,35650.0,48900.0,52300.0,,1.0,0.75,36568,31.77,특이사항 없음,0,16.09,63.4,14.93,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,48.8,기타 화학제품 제조업,19819484200.0,72.5,52.08,0,0,-4.76,1.86,17.45,38.45,21.27,14.03,31.88,1.37,-21.8,0.011,0.011,1,12.0,1,0,2.21,0.61,0,0,0,1,1,33330.0,12.25,0.0784,False,O,▲,42476,▲,X,X,-3.48,250,0,1,1,1,55500.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,13.15,5.0,1.5,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,기타 화학제품 제조업,-1.925777777777778,15.973777777777778,8.0,87.6,OK,44.983662831352106,44.983662831352106,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,81.4,81.4,81.4,19.9,19.9,FRESH,0.702,,False,0.412,True,MATURE,5320.0,1.454,1.082,1.082,0.0,0.0,,v22_calibrated,,,,,,True,19.1,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
5,006800,미래에셋증권,KOSPI,서비스 기타,79600,4145.52,445415.2,0.0,,ARMED,ARMED,2,True,1,False,76.3,76.3,61.8,95.4,67.0,0.0,71.6,74.7,33.6,58.0,0.91,0.0,진입적정 + 대기,0,79600.0,70600.0,87800.0,96500.0,,1.54,1.22,66827,249.7,특이사항 없음,0,0.47,61.8,13.13,TIMING 강점,,5일 급등,스퀴즈/품질 대기,NORMAL,48.8,금융 지원 서비스업,414552387650.0,67.1,28.06,0,0,0.76,17.58,15.2,17.58,61.18,234.51,11.01,41.28,198.68,0.05,0.05,1,12.0,0,0,2.04,0.65,0,0,0,1,1,65860.0,19.11,0.5799,False,O,▲,74021,▲,O,X,-2.91,250,0,1,1,1,99800.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,11.31,4.0,0.9,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,금융 지원 서비스업,3.2796969696969693,10.733030303030302,10.0,67.0,OK,76.0,76.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,76.3,76.3,76.3,19.9,19.9,FRESH,0.66,,False,0.371,True,MATURE,5320.0,0.911,0.915,0.911,0.0,0.0,,v22_calibrated,,,,,,True,10.3,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
6,054920,한컴위드,KOSDAQ,IT/전기전자,7660,147.86,2161.4,0.0,,ARMED,ARMED,2,True,1,False,78.0,78.0,95.7,56.7,85.3,0.0,68.2,79.2,39.0,51.2,1.15,0.0,RR1.1 + 진입적정 + 대기,0,7660.0,6510.0,8980.0,9490.0,,1.32,0.26,6684,9.84,특이사항 없음,0,40.62,57.4,14.65,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,48.8,소프트웨어 개발 및 공급업,14786216550.0,90.7,60.66,0,0,-6.24,3.37,17.67,57.29,43.45,95.16,50.72,23.55,59.33,0.052,0.052,1,12.0,1,0,3.2,0.69,0,0,0,1,1,5621.0,14.59,-0.0215,False,O,▲,7833,▲,X,X,-3.92,250,0,1,1,1,10860.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.01,6.0,1.1,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_2x,70,ATR_3.5x,45,0.0,소프트웨어 개발 및 공급업,6.182352941176471,23.521470588235296,5.0,85.3,OK,34.0,34.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,78.0,78.0,78.0,19.9,19.9,FRESH,0.598,,False,0.385,True,MATURE,5320.0,1.148,0.971,0.971,0.0,0.0,,v22_calibrated,,,,,,True,17.2,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
7,388050,지투파워,KOSDAQ,인프라·에너지,15290,159.7,2860.7,0.0,,ARMED,ARMED,2,True,1,False,79.0,79.0,100.0,59.5,75.9,0.0,68.1,78.5,40.5,49.4,1.38,0.0,RR1.4 + 진입적정 + 대기,0,15290.0,12990.0,18460.0,19990.0,,0.59,0.35,12938,0.48,특이사항 없음,0,12.41,52.1,6.41,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,48.8,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",15970300595.0,71.1,35.83,0,0,-4.26,1.59,10.24,21.35,67.29,85.56,14.78,47.39,49.73,0.006,0.006,1,12.0,1,0,2.52,0.51,0,0,0,1,1,13050.0,18.17,0.1438,False,O,▲,15971,▲,X,X,-0.25,250,0,1,1,1,21200.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.04,6.0,1.4,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",14.825999999999999,45.54866666666667,2.0,75.9,OK,28.600034391591144,28.600034391591144,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,79.0,79.0,79.0,19.9,19.9,FRESH,0.596,,False,0.393,True,MATURE,5320.0,1.378,1.003,1.003,0.0,0.0,,v22_calibrated,,,,,,True,20.7,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
8,050890,쏠리드,KOSDAQ,IT/전기전자,18200,1807.48,11057.7,0.0,,ARMED,ARMED,2,True,1,False,80.8,80.8,100.0,79.1,45.6,0.0,66.5,74.9,54.4,32.0,0.99,0.0,진입적정 + 대기,0,18200.0,15470.0,20900.0,23650.0,,0.93,0.72,15002,5.21,특이사항 없음,5,12.63,62.0,6.91,STRUCT 강점,TIMING 보조,,스퀴즈/품질 대기,NORMAL,48.8,통신 및 방송 장비 제조업,180748001385.0,75.7,25.24,1,0,-3.45,13.25,9.18,20.53,112.12,131.85,13.96,92.22,96.02,0.088,0.088,1,12.0,0,0,2.44,0.61,0,0,0,1,1,14824.0,21.32,0.3385,False,O,▲,17839,▲,O,X,-1.8,250,0,1,1,1,24700.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,15.0,5.0,1.0,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,0.0,통신 및 방송 장비 제조업,6.182352941176471,23.521470588235296,5.0,45.6,OK,46.482948841741305,46.482948841741305,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,80.8,80.8,80.8,19.9,19.9,FRESH,0.566,,False,0.407,True,MATURE,5320.0,0.989,1.063,0.989,0.0,0.0,,v22_calibrated,,,,,,True,14.8,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
9,041910,폴라리스AI파마,KOSDAQ,바이오·의약품,7580,285.15,1006.9,0.0,,ARMED,ARMED,2,True,1,False,73.5,73.5,85.9,69.7,56.4,0.0,66.0,70.7,29.5,63.1,1.85,0.0,RR1.9 + 진입적정 + 대기,0,7580.0,6670.0,9260.0,10200.0,,0.7,2.55,8191,-3.63,특이사항 없음,5,2.09,60.5,7.09,STRUCT 강점,,,스퀴즈/품질 대기,NORMAL,48.8,의약품 제조업,28514969720.0,93.4,13.22,1,0,0.53,6.31,10.01,8.13,16.26,19.75,1.56,-3.64,-16.08,0.409,0.409,0,12.0,1,1,10.5,0.34,0,0,0,1,1,6741.0,-7.46,0.0681,False,O,▲,7309,▲,O,X,-0.53,250,0,1,1,1,11400.0,enter,100.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,12.01,6.0,1.8,normal,7.0,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,0.0,의약품 제조업,-2.77,-2.5277777777777777,13.0,56.4,OK,66.0,66.0,10,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,73.5,73.5,73.5,19.9,19.9,FRESH,0.557,,False,0.349,True,MATURE,5320.0,1.846,0.878,0.878,0.0,0.0,,v22_calibrated,,,,,,True,22.2,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
10,452450,피아이이,KOSDAQ,조선·기계·설비,7350,111.12,2648.1,0.0,,ARMED,ARMED,2,True,1,False,75.6,75.6,95.0,54.9,78.2,0.0,65.5,76.0,40.1,49.9,1.74,0.0,RR1.7 + 진입적정 + 대기,0,7350.0,6670.0,8530.0,9450.0,,1.08,0.72,6838,2.73,특이사항 없음,0,39.7,57.8,10.02,STRUCT 강점,AI 보조,,스퀴즈/품질 대기,NORMAL,48.8,특수 목적용 기계 제조업,11111755375.0,77.5,47.08,0,0,2.51,3.09,4.7,44.4,10.53,-17.32,37.83,-9.37,-53.15,0.253,0.253,1,12.0,1,0,5.57,0.67,0,0,0,1,1,5941.0,7.48,-0.1931,False,O,▲,7484,▼,X,X,-1.95,250,0,1,-1,1,10900.0,enter,100.0,SWING+PM_BLOCK_INTRADAY+EF:정상,9.25,6.0,1.7,normal,7.0,v1_sl_first_gap_at_open,SWING+PM_BLOCK_INTRADAY+EF:정상,SWING_20D,80,SWING_120D,45,FIBO_1.618,25,0.0,특수 목적용 기계 제조업,5.413733333333333,28.719466666666666,3.0,78.2,OK,36.00620051849153,36.00620051849153,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,70,20260508,20260508,,75.6,75.6,75.6,19.9,19.9,FRESH,0.548,,False,0.366,True,MATURE,5320.0,1.735,0.892,0.892,0.0,0.0,,v22_calibrated,,,,,,True,16.1,,ELITE_SCORE,MATURE,5320,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True,
