종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
005380,현대차
373220,LG에너지솔루션
402340,SK스퀘어
207940,삼성바이오로직스
034020,두산에너빌리티
012450,한화에어로스페이스
000270,기아
329180,HD현대중공업
105560,KB금융
028260,삼성물산
068270,셀트리온
055550,신한지주
032830,삼성생명
042660,한화오션
006800,미래에셋증권
012330,현대모비스
035420,NAVER
009150,삼성전기
267260,HD현대일렉트릭
010130,고려아연
006400,삼성SDI
015760,한국전력
086790,하나금융지주
042700,한미반도체
009540,HD한국조선해양
005490,POSCO홀딩스
010120,LS ELECTRIC
034730,SK
272210,한화시스템
298040,효성중공업
010140,삼성중공업
316140,우리금융지주
035720,카카오
051910,LG화학
000810,삼성화재
000250,삼천당제약
267250,HD현대
086520,에코프로
011200,HMM
064350,현대로템
096770,SK이노베이션
024110,기업은행
000150,두산
066570,LG전자
196170,알테오젠
247540,에코프로비엠
138040,메리츠금융지주
000720,현대건설
047810,한국항공우주
033780,KT&G
003670,포스코퓨처엠
086280,현대글로비스
017670,SK텔레콤
030200,KT
352820,하이브
003550,LG
079550,LIG넥스원
0126Z0,삼성에피스홀딩스
047050,포스코인터내셔널
278470,에이피알
071050,한국금융지주
005830,DB손해보험
277810,레인보우로보틱스
005940,NH투자증권
010950,S-Oil
018260,삼성에스디에스
039490,키움증권
323410,카카오뱅크
307950,현대오토에버
259960,크래프톤
298380,에이비엘바이오
003490,대한항공
006260,LS
007660,이수페타시스
005387,현대차2우B
016360,삼성증권
000880,한화
009830,한화솔루션
377300,카카오페이
180640,한진칼
003230,삼양식품
058470,리노공업
090430,아모레퍼시픽
443060,HD현대마린솔루션
950160,코오롱티슈진
087010,펩트론
000100,유한양행
047040,대우건설
141080,리가켐바이오
326030,SK바이오팜
128940,한미약품
161390,한국타이어앤테크놀로지
011070,LG이노텍
028050,삼성E&A
029780,삼성카드
028300,HLB
032640,LG유플러스
052690,한전기술
064400,LG씨엔에스
078930,GS
267270,HD건설기계
005385,현대차우
240810,원익IPS
241560,두산밥캣
001040,CJ
214370,케어젠
034220,LG디스플레이
310210,보로노이
138930,BNK금융지주
175330,JB금융지주
454910,두산로보틱스
001440,대한전선
088980,맥쿼리인프라
271560,오리온
039030,이오테크닉스
021240,코웨이
095340,ISC
004020,현대제철
022100,포스코DX
036570,엔씨소프트
062040,산일전기
002380,KCC
032820,우리기술
088350,한화생명
066970,엘앤에프
489790,한화비전
450080,에코프로머티
251270,넷마블
018880,한온시스템
403870,HPSP
082740,한화엔진
353200,대덕전자
103590,일진전기
051900,LG생활건강
035250,강원랜드
031210,서울보증보험
000990,DB하이텍
108490,로보티즈
010060,OCI홀딩스
226950,올릭스
011790,SKC
111770,영원무역
012510,더존비즈온
011170,롯데케미칼
0009K0,에임드바이오
439260,대한조선
214150,클래시스
036460,한국가스공사
017800,현대엘리베이터
001720,신영증권
011780,금호석유화학
347850,디앤디파마텍
004990,롯데지주
083650,비에이치아이
036930,주성엔지니어링
012750,에스원
214450,파마리서치
302440,SK바이오사이언스
014680,한솔케미칼
357780,솔브레인
004170,신세계
319400,현대무벡스
145020,휴젤
023530,롯데쇼핑
043260,성호전자
097950,CJ제일제당
237690,에스티팜
009970,영원무역홀딩스
085620,미래에셋생명
051600,한전KPS
476830,알지노믹스
084370,유진테크
440110,파두
009420,한올바이오파마
00680K,미래에셋증권2우B
005850,에스엘
028670,팬오션
064760,티씨케이
178320,서진시스템
001450,현대해상
112610,씨에스윈드
140410,메지온
139480,이마트
139130,iM금융지주
103140,풍산
457190,이수스페셜티케미컬
336260,두산퓨얼셀
071970,HD현대마린엔진
006360,GS건설
475830,오름테라퓨틱
068760,셀트리온제약
279570,케이뱅크
058610,에스피지
263750,펄어비스
030530,원익홀딩스
008930,한미사이언스
026960,동서
375500,DL이앤씨
000120,CJ대한통운
017960,한국카본
000240,한국앤컴퍼니
097230,HJ중공업
003690,코리안리
005290,동진쎄미켐
204320,HL만도
004800,효성
319660,피에스케이
030000,제일기획
005440,현대지에프홀딩스
018670,SK가스
031980,피에스케이홀딩스
383220,F&F
001430,세아베스틸지주
081660,미스토홀딩스
257720,실리콘투
035900,JYP Ent.
222800,심텍
007340,DN오토모티브
458870,씨어스테크놀로지
004370,농심
011210,현대위아
067310,하나마이크론
023590,다우기술
041510,에스엠
192820,코스맥스
002790,아모레퍼시픽홀딩스
089030,테크윙
218410,RFHIC
282330,BGF리테일
039200,오스코텍
323280,태성
020150,롯데에너지머티리얼즈
347700,스피어
445680,큐리옥스바이오시스템즈
069960,현대백화점
376900,로킷헬스케어
003540,대신증권
000155,두산우
491000,리브스메드
475150,SK이터닉스
098460,고영
003380,하림지주
131970,두산테스나
483650,달바글로벌
078600,대주전자재료
120110,코오롱인더
099320,쎄트렉아이
140860,파크시스템스
395400,SK리츠
000500,가온전선
290650,엘앤씨바이오
038500,삼표시멘트
069620,대웅제약
001120,LX인터내셔널
101490,에스앤에스텍
361610,SK아이이테크놀로지
161890,한국콜마
006040,동원산업
073240,금호타이어
462870,시프트업
437730,삼현
085660,차바이오텍
065350,신성델타테크
008770,호텔신라
232140,와이씨
006280,녹십자
417200,LS머트리얼즈
007070,GS리테일
032350,롯데관광개발
003530,한화투자증권
034230,파라다이스
012630,HDC
090710,휴림로봇
115180,큐리언트
082270,젬백스
060370,LS마린솔루션
005070,코스모신소재
160190,하이젠알앤엠
100090,SK오션플랜트
294870,HDC현대산업개발
298020,효성티앤씨
003570,SNT다이내믹스
174900,앱클론
001800,오리온홀딩스
007810,코리아써키트
493280,아이엠바이오로직스
080220,제주반도체
030610,교보증권
397030,에이프릴바이오
195940,HK이노엔
456160,지투지바이오
007310,오뚜기
082640,동양생명
322000,HD현대에너지솔루션
020560,아시아나항공
388210,씨엠티엑스
003240,태광산업
003090,대웅
124500,아이티센글로벌
466100,클로봇
048410,현대바이오
330590,롯데리츠
229640,LS에코에너지
077970,STX엔진
