종목코드,종목명
053260,금강철강
130660,한전산업
094170,동운아나텍
064290,인텍플러스
028260,삼성물산
160190,하이젠알앤엠
000270,기아
382480,지아이텍
356860,티엘비
041190,우리기술투자
440110,파두
033160,엠케이전자
032830,삼성생명
004310,현대약품
021240,코웨이
039030,이오테크닉스
326030,SK바이오팜
204320,HL만도
457190,이수스페셜티케미컬
068270,셀트리온
010120,LS ELECTRIC
103590,일진전기
277810,레인보우로보틱스
001510,SK증권
139480,이마트
018260,삼성에스디에스
052690,한전기술
156100,엘앤케이바이오
382150,온코크로스
006140,피제이전자
047040,대우건설
000880,한화
066970,엘앤에프
010950,S-Oil
082740,한화엔진
125020,티씨머티리얼즈
032640,LG유플러스
000990,DB하이텍
950160,코오롱티슈진
097950,CJ제일제당
012330,현대모비스
022100,포스코DX
396300,HT로보틱스
321260,프로이천
003350,한국화장품제조
000720,현대건설
006400,삼성SDI
201490,미투온
078600,대주전자재료
213420,덕산네오룩스
003490,대한항공
098120,마이크로컨텍솔
004170,신세계
042660,한화오션
454910,두산로보틱스
000370,한화손해보험
443060,HD현대마린솔루션
234340,헥토파이낸셜
0015N0,아로마티카
090360,로보스타
080220,제주반도체
282330,BGF리테일
001040,CJ
128940,한미약품
079650,서산
475830,오름테라퓨틱
036570,NC
051910,LG화학
441270,파인엠텍
087010,펩트론
119850,지엔씨에너지
024060,흥구석유
020150,롯데에너지머티리얼즈
018880,한온시스템
001740,SK네트웍스
279570,케이뱅크
024840,KBI메탈
006660,삼성공조
066575,LG전자우
005830,DB손해보험
181710,NHN
062040,산일전기
336260,두산퓨얼셀
017670,SK텔레콤
086790,하나금융지주
088980,맥쿼리인프라
032820,우리기술
006890,태경케미컬
089030,테크윙
055550,신한지주
028050,삼성E&A
000150,두산
093370,후성
252990,샘씨엔에스
0126Z0,삼성에피스홀딩스
323280,태성
079550,LIG디펜스앤에어로스페이스
000500,가온전선
011200,HMM
023530,롯데쇼핑
120110,코오롱인더
091120,이엠텍
161390,한국타이어앤테크놀로지
004020,현대제철
307950,현대오토에버
004370,농심
035420,NAVER
069960,현대백화점
105840,우진
001450,현대해상
083450,GST
006110,삼아알미늄
038680,에스넷
096350,대창솔루션
090710,휴림로봇
003230,삼양식품
009150,삼성전기
278470,에이피알
005385,현대차우
448900,한국피아이엠
079900,전진건설로봇
034220,LG디스플레이
413630,씨피시스템
005180,빙그레
123330,제닉
011070,LG이노텍
008930,한미사이언스
332570,PS일렉트로닉스
004490,세방전지
354320,알멕
491000,리브스메드
032580,피델릭스
019210,와이지-원
039490,키움증권
208370,셀바스헬스케어
079810,APS이노베이션
005930,삼성전자
015760,한국전력
475150,SK이터닉스
290660,다이나믹솔루션
175330,JB금융지주
466100,클로봇
005090,SGC에너지
317830,에스피시스템스
009830,한화솔루션
006910,보성파워텍
263750,펄어비스
028670,팬오션
204270,제이앤티씨
127120,제이에스링크
126640,화신정공
190510,나무가
011780,금호석유화학
267250,HD현대
023900,풍국주정
281820,케이씨텍
014680,한솔케미칼
004140,동방
321550,티움바이오
056080,유진로봇
005290,동진쎄미켐
192820,코스맥스
005387,현대차2우B
034020,두산에너빌리티
126340,비나텍
257720,실리콘투
084650,랩지노믹스
450080,에코프로머티
267270,HD건설기계
007820,엠엑스로보틱스
012210,삼미금속
007070,GS리테일
025980,아난티
131290,티에스이
086280,현대글로비스
030530,원익홀딩스
017960,한국카본
484810,티엑스알로보틱스
420770,기가비스
043260,성호전자
036540,SFA반도체
232140,와이씨
161580,필옵틱스
217590,티엠씨
017900,광전자
090430,아모레퍼시픽
005380,현대차
327260,RF머트리얼즈
228670,레이
000815,삼성화재우
388050,지투파워
417500,제이아이테크
008770,호텔신라
002720,국제약품
001430,세아베스틸지주
005940,NH투자증권
033780,KT&G
207940,삼성바이오로직스
069540,빛과전자
131370,알서포트
382900,범한퓨얼셀
004710,한솔테크닉스
249420,일동제약
007660,이수페타시스
033790,피노
045390,대아티아이
096770,SK이노베이션
034730,SK
067310,하나마이크론
049480,오픈베이스
032940,원익
290650,엘앤씨바이오
105560,KB금융
290550,디케이티
044490,태웅
122640,예스티
066570,LG전자
092870,엑시콘
389500,에스비비테크
353200,대덕전자
352820,하이브
124500,아이티센글로벌
020120,키다리스튜디오
103140,풍산
039610,화성밸브
031980,피에스케이홀딩스
088390,이녹스
007460,에이프로젠
009540,HD한국조선해양
003670,포스코퓨처엠
267260,HD현대일렉트릭
028300,HLB
000660,SK하이닉스
090460,비에이치
048410,현대바이오
178320,서진시스템
317400,자이에스앤디
092790,넥스틸
088350,한화생명
036460,한국가스공사
234690,녹십자웰빙
053690,한미글로벌
089970,브이엠
377300,카카오페이
033230,인성정보
002380,KCC
348340,뉴로메카
009420,한올바이오파마
003550,LG
115180,큐리언트
041910,폴라리스AI파마
006360,GS건설
212560,네오오토
424960,스마트레이더시스템
298040,효성중공업
138040,메리츠금융지주
375500,DL이앤씨
125490,한라캐스트
000250,삼천당제약
452260,한화갤러리아
323410,카카오뱅크
329180,HD현대중공업
138930,BNK금융지주
051900,LG생활건강
005490,POSCO홀딩스
319660,피에스케이
218410,RFHIC
058610,에스피지
000100,유한양행
000810,삼성화재
064550,바이오니아
047770,코데즈컴바인
010130,고려아연
030000,제일기획
100090,SK오션플랜트
011170,롯데케미칼
001820,삼화콘덴서
011790,SKC
047050,포스코인터내셔널
137950,제이씨케미칼
166090,하나머티리얼즈
010170,대한광통신
259960,크래프톤
489790,한화비전
001210,금호전기
024110,기업은행
139130,iM금융지주
030200,KT
012450,한화에어로스페이스
183300,코미코
170920,엘티씨
065440,이루온
180640,한진칼
064260,다날
271560,오리온
272210,한화시스템
046210,HLB파나진
003280,흥아해운
048770,TPC로보틱스
001440,대한전선
009155,삼성전기우
003530,한화투자증권
299660,셀리드
037440,희림
261780,아리바이오랩
322000,HD현대에너지솔루션
373220,LG에너지솔루션
003160,디아이
108490,로보티즈
083650,비에이치아이
095340,ISC
425420,티에프이
437730,삼현
002990,금호건설
476830,알지노믹스
006260,LS
035720,카카오
316140,우리금융지주
042700,한미반도체
241560,두산밥캣
310210,보로노이
071050,한국금융지주
199430,케이엔알시스템
098460,고영
006340,대원전선
064400,LG씨엔에스
005870,휴니드
144960,뉴파워프라즈마
007810,코리아써키트
198440,강동씨앤엘
319400,현대무벡스
010060,OCI홀딩스
016360,삼성증권
077360,덕산하이메탈
084370,유진테크
347700,스피어
005935,삼성전자우
071090,하이스틸
483650,달바글로벌
073240,금호타이어
047810,한국항공우주
402340,SK스퀘어
187660,페니트리움바이오
078930,GS
347850,디앤디파마텍
112610,씨에스윈드
357230,에이치피오
100840,SNT에너지
161890,한국콜마
024740,한일단조
010140,삼성중공업
417840,저스템
064350,현대로템
006800,미래에셋증권
