종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005380,현대차
005935,삼성전자우
373220,LG에너지솔루션
207940,삼성바이오로직스
402340,SK스퀘어
012450,한화에어로스페이스
329180,HD현대중공업
000270,기아
034020,두산에너빌리티
028260,삼성물산
105560,KB금융
068270,셀트리온
042660,한화오션
055550,신한지주
035420,NAVER
012330,현대모비스
015760,한국전력
032830,삼성생명
010130,고려아연
267260,HD현대일렉트릭
086790,하나금융지주
006400,삼성SDI
009540,HD한국조선해양
005490,POSCO홀딩스
006800,미래에셋증권
035720,카카오
010140,삼성중공업
064350,현대로템
034730,SK
086520,에코프로
316140,우리금융지주
009150,삼성전기
000810,삼성화재
272210,한화시스템
298040,효성중공업
051910,LG화학
196170,알테오젠
247540,에코프로비엠
138040,메리츠금융지주
003670,포스코퓨처엠
042700,한미반도체
011200,HMM
086280,현대글로비스
033780,KT&G
096770,SK이노베이션
267250,HD현대
010120,LS ELECTRIC
024110,기업은행
066570,LG전자
047810,한국항공우주
017670,SK텔레콤
352820,하이브
0126Z0,삼성에피스홀딩스
277810,레인보우로보틱스
000150,두산
030200,KT
003550,LG
018260,삼성에스디에스
000250,삼천당제약
039490,키움증권
071050,한국금융지주
307950,현대오토에버
000720,현대건설
259960,크래프톤
047050,포스코인터내셔널
298380,에이비엘바이오
323410,카카오뱅크
010950,S-Oil
079550,LIG넥스원
278470,에이피알
005830,DB손해보험
005940,NH투자증권
005387,현대차2우B
377300,카카오페이
326030,SK바이오팜
000880,한화
950160,코오롱티슈진
007660,이수페타시스
000100,유한양행
003490,대한항공
003230,삼양식품
443060,HD현대마린솔루션
016360,삼성증권
090430,아모레퍼시픽
161390,한국타이어앤테크놀로지
180640,한진칼
028300,HLB
058470,리노공업
454910,두산로보틱스
141080,리가켐바이오
032640,LG유플러스
006260,LS
087010,펩트론
064400,LG씨엔에스
029780,삼성카드
267270,HD건설기계
214370,케어젠
128940,한미약품
078930,GS
241560,두산밥캣
028050,삼성E&A
001040,CJ
021240,코웨이
005385,현대차우
022100,포스코DX
011070,LG이노텍
001440,대한전선
034220,LG디스플레이
240810,원익IPS
138930,BNK금융지주
088980,맥쿼리인프라
052690,한전기술
175330,JB금융지주
000990,DB하이텍
214150,클래시스
039030,이오테크닉스
009830,한화솔루션
082740,한화엔진
066970,엘앤에프
140410,메지온
450080,에코프로머티
108490,로보티즈
214450,파마리서치
271560,오리온
036570,엔씨소프트
062040,산일전기
251270,넷마블
011790,SKC
002380,KCC
310210,보로노이
004020,현대제철
111770,영원무역
051900,LG생활건강
347850,디앤디파마텍
403870,HPSP
302440,SK바이오사이언스
319400,현대무벡스
017800,현대엘리베이터
036460,한국가스공사
035250,강원랜드
011780,금호석유화학
031210,서울보증보험
018880,한온시스템
058610,에스피지
103140,풍산
011170,롯데케미칼
0009K0,에임드바이오
357780,솔브레인
263750,펄어비스
014680,한솔케미칼
004990,롯데지주
237690,에스티팜
457190,이수스페셜티케미컬
030530,원익홀딩스
489790,한화비전
145020,휴젤
353200,대덕전자
012750,에스원
097950,CJ제일제당
095340,ISC
088350,한화생명
001720,신영증권
103590,일진전기
004170,신세계
068760,셀트리온제약
071970,HD현대마린엔진
204320,HL만도
001430,세아베스틸지주
008930,한미사이언스
012510,더존비즈온
005290,동진쎄미켐
009970,영원무역홀딩스
009420,한올바이오파마
257720,실리콘투
439260,대한조선
226950,올릭스
383220,F&F
028670,팬오션
139130,iM금융지주
026960,동서
035900,JYP Ent.
023530,롯데쇼핑
005850,에스엘
001450,현대해상
139480,이마트
000240,한국앤컴퍼니
475830,오름테라퓨틱
051600,한전KPS
004370,농심
041510,에스엠
081660,미스토홀딩스
064760,티씨케이
004800,효성
067310,하나마이크론
00680K,미래에셋증권2우B
030000,제일기획
084370,유진테크
002790,아모레퍼시픽홀딩스
222800,심텍
000120,CJ대한통운
099320,쎄트렉아이
160190,하이젠알앤엠
011210,현대위아
003690,코리안리
323280,태성
083650,비에이치아이
023590,다우기술
097230,HJ중공업
098460,고영
336260,두산퓨얼셀
290650,엘앤씨바이오
069960,현대백화점
192820,코스맥스
010060,OCI홀딩스
020150,롯데에너지머티리얼즈
458870,씨어스테크놀로지
065350,신성델타테크
445680,큐리옥스바이오시스템즈
361610,SK아이이테크놀로지
047040,대우건설
036930,주성엔지니어링
282330,BGF리테일
018670,SK가스
476830,알지노믹스
178320,서진시스템
437730,삼현
140860,파크시스템스
462870,시프트업
039200,오스코텍
483650,달바글로벌
069620,대웅제약
007070,GS리테일
032350,롯데관광개발
000155,두산우
101490,에스앤에스텍
006280,녹십자
082270,젬백스
348370,엔켐
008770,호텔신라
491000,리브스메드
006040,동원산업
466100,클로봇
298020,효성티앤씨
375500,DL이앤씨
112610,씨에스윈드
017960,한국카본
090710,휴림로봇
319660,피에스케이
089030,테크윙
003570,SNT다이내믹스
034230,파라다이스
005070,코스모신소재
073240,금호타이어
085660,차바이오텍
003380,하림지주
281740,레이크머티리얼즈
395400,SK리츠
031980,피에스케이홀딩스
085620,미래에셋생명
006360,GS건설
232140,와이씨
161890,한국콜마
003540,대신증권
060370,LS마린솔루션
120110,코오롱인더
388720,유일로보틱스
020560,아시아나항공
195940,HK이노엔
007390,네이처셀
005440,현대지에프홀딩스
038500,삼표시멘트
007310,오뚜기
032820,우리기술
001120,LX인터내셔널
035760,CJ ENM
007340,DN오토모티브
397030,에이프릴바이오
003530,한화투자증권
003090,대웅
096530,씨젠
293490,카카오게임즈
000500,가온전선
080220,제주반도체
007810,코리아써키트
294870,HDC현대산업개발
095610,테스
043260,성호전자
253450,스튜디오드래곤
456160,지투지바이오
077970,STX엔진
440110,파두
030610,교보증권
204270,제이앤티씨
122870,와이지엔터테인먼트
218410,RFHIC
347700,스피어
001800,오리온홀딩스
174900,앱클론
161580,필옵틱스
388210,씨엠티엑스
300720,한일시멘트
166090,하나머티리얼즈
137400,피엔티
330590,롯데리츠
004000,롯데정밀화학
