종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
373220,LG에너지솔루션
005380,현대차
402340,SK스퀘어
034020,두산에너빌리티
207940,삼성바이오로직스
012450,한화에어로스페이스
000270,기아
329180,HD현대중공업
105560,KB금융
009150,삼성전기
006400,삼성SDI
032830,삼성생명
028260,삼성물산
055550,신한지주
068270,셀트리온
012330,현대모비스
042660,한화오션
006800,미래에셋증권
267260,HD현대일렉트릭
010130,고려아연
086790,하나금융지주
035420,NAVER
005490,POSCO홀딩스
009540,HD한국조선해양
015760,한국전력
042700,한미반도체
034730,SK
298040,효성중공업
010120,LS ELECTRIC
051910,LG화학
010140,삼성중공업
316140,우리금융지주
272210,한화시스템
064350,현대로템
000150,두산
003670,포스코퓨처엠
096770,SK이노베이션
086520,에코프로
035720,카카오
017670,SK텔레콤
247540,에코프로비엠
000810,삼성화재
066570,LG전자
267250,HD현대
079550,LIG디펜스앤에어로스페이스
011200,HMM
033780,KT&G
196170,알테오젠
138040,메리츠금융지주
000720,현대건설
024110,기업은행
047810,한국항공우주
086280,현대글로비스
030200,KT
278470,에이피알
003550,LG
071050,한국금융지주
0126Z0,삼성에피스홀딩스
018260,삼성에스디에스
047050,포스코인터내셔널
047040,대우건설
010950,S-Oil
005940,NH투자증권
307950,현대오토에버
259960,크래프톤
323410,카카오뱅크
005830,DB손해보험
039490,키움증권
277810,레인보우로보틱스
000250,삼천당제약
352820,하이브
006260,LS
443060,HD현대마린솔루션
003230,삼양식품
028050,삼성E&A
011070,LG이노텍
016360,삼성증권
000880,한화
007660,이수페타시스
003490,대한항공
058470,리노공업
005387,현대차2우B
298380,에이비엘바이오
950160,코오롱티슈진
267270,HD건설기계
028300,HLB
326030,SK바이오팜
180640,한진칼
066970,엘앤에프
009830,한화솔루션
001440,대한전선
377300,카카오페이
161390,한국타이어앤테크놀로지
000100,유한양행
090430,아모레퍼시픽
032640,LG유플러스
034220,LG디스플레이
141080,리가켐바이오
241560,두산밥캣
052690,한전기술
078930,GS
064400,LG씨엔에스
128940,한미약품
062040,산일전기
029780,삼성카드
001040,CJ
240810,원익IPS
005385,현대차우
454910,두산로보틱스
039030,이오테크닉스
087010,펩트론
450080,에코프로머티
138930,BNK금융지주
175330,JB금융지주
021240,코웨이
310210,보로노이
036570,NC
010060,OCI홀딩스
036930,주성엔지니어링
088980,맥쿼리인프라
004020,현대제철
271560,오리온
000990,DB하이텍
022100,포스코DX
082740,한화엔진
095340,ISC
214370,케어젠
353200,대덕전자
002380,KCC
018880,한온시스템
489790,한화비전
088350,한화생명
108490,로보티즈
011790,SKC
251270,넷마블
103590,일진전기
017800,현대엘리베이터
375500,DL이앤씨
032820,우리기술
011170,롯데케미칼
457190,이수스페셜티케미컬
403870,HPSP
051900,LG생활건강
111770,영원무역
043260,성호전자
214150,클래시스
006360,GS건설
012510,더존비즈온
004170,신세계
035250,강원랜드
097950,CJ제일제당
347850,디앤디파마텍
263750,펄어비스
031210,서울보증보험
302440,SK바이오사이언스
439260,대한조선
357780,솔브레인
036460,한국가스공사
011780,금호석유화학
012750,에스원
319400,현대무벡스
226950,올릭스
023530,롯데쇼핑
001720,신영증권
014680,한솔케미칼
071970,HD현대마린엔진
145020,휴젤
214450,파마리서치
064760,티씨케이
0009K0,에임드바이오
139130,iM금융지주
440110,파두
028670,팬오션
083650,비에이치아이
005850,에스엘
178320,서진시스템
257720,실리콘투
020150,롯데에너지머티리얼즈
222800,심텍
084370,유진테크
085620,미래에셋생명
009970,영원무역홀딩스
004990,롯데지주
336260,두산퓨얼셀
237690,에스티팜
005290,동진쎄미켐
00680K,미래에셋증권2우B
139480,이마트
103140,풍산
004800,효성
140410,메지온
051600,한전KPS
001450,현대해상
112610,씨에스윈드
026960,동서
008930,한미사이언스
218410,RFHIC
120110,코오롱인더
082920,비츠로셀
017960,한국카본
383220,F&F
476830,알지노믹스
058610,에스피지
279570,케이뱅크
000500,가온전선
009420,한올바이오파마
068760,셀트리온제약
204320,HL만도
067310,하나마이크론
097230,HJ중공업
100790,미래에셋벤처투자
001430,세아베스틸지주
483650,달바글로벌
010170,대한광통신
000120,CJ대한통운
192820,코스맥스
319660,피에스케이
031980,피에스케이홀딩스
030530,원익홀딩스
005440,현대지에프홀딩스
000240,한국앤컴퍼니
011210,현대위아
078600,대주전자재료
282330,BGF리테일
004370,농심
007340,DN오토모티브
298020,효성티앤씨
030000,제일기획
000155,두산우
081660,미스토홀딩스
018670,SK가스
347700,스피어
098460,고영
035900,JYP Ent.
361610,SK아이이테크놀로지
003690,코리안리
101490,에스앤에스텍
007810,코리아써키트
005070,코스모신소재
023590,다우기술
089030,테크윙
008770,호텔신라
041510,에스엠
002790,아모레퍼시픽홀딩스
069960,현대백화점
131970,두산테스나
395400,SK리츠
161890,한국콜마
077970,STX엔진
323280,태성
039200,오스코텍
462870,시프트업
099320,쎄트렉아이
007070,GS리테일
001120,LX인터내셔널
003540,대신증권
140860,파크시스템스
322000,HD현대에너지솔루션
475150,SK이터닉스
229640,LS에코에너지
003570,SNT다이내믹스
060370,LS마린솔루션
038500,삼표시멘트
131290,티에스이
475830,오름테라퓨틱
006040,동원산업
069620,대웅제약
437730,삼현
095610,테스
073240,금호타이어
290650,엘앤씨바이오
232140,와이씨
006280,녹십자
003530,한화투자증권
065350,신성델타테크
458870,씨어스
281740,레이크머티리얼즈
085660,차바이오텍
080220,제주반도체
012630,HDC
183300,코미코
032350,롯데관광개발
030610,교보증권
003380,하림지주
001800,오리온홀딩스
417200,LS머트리얼즈
294870,IPARK현대산업개발
445680,큐리옥스바이오시스템즈
020560,아시아나항공
093370,후성
027360,아주IB투자
195940,HK이노엔
007310,오뚜기
376900,로킷헬스케어
491000,리브스메드
137400,피엔티
189300,인텔리안테크
388210,씨엠티엑스
034230,파라다이스
051915,LG화학우
100090,SK오션플랜트
115180,큐리언트
127120,제이에스링크
166090,하나머티리얼즈
