LDY_RANK,종목코드,종목명,시장,업종_대분류,종가,거래대금(억원),시가총액(억원),켈리_수량,추천금액(만원),상태,ROUTE,ACTION_PRIORITY,IS_ACTIVE,IS_NOW_ENTRY,IS_WATCH,DISPLAY_SCORE,FINAL_SCORE,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,NEWS_SCORE,ELITE_SCORE,AXIS_MEAN,AXIS_GAP,BALANCE_SCORE,RR_NOW_TP1,ENTRY_GAP_PCT,ELITE_REASON,TOP_PICK,추천매수가,손절가,추천매도가1,추천매도가2,TRIGGER,V_POWER,거래강도,VWAP,POC_GAP,NEWS_REASON,TTM_SQUEEZE_CNT,Low_Trend_PCT,RSI14,이격도,SCORE_REASON_TOP1,SCORE_REASON_TOP2,SCORE_RISK,ROUTE_REASON,MACRO_RISK,MARKET_BREADTH,업종,거래대금(원),MFI14,BB_BW,TTM_SQUEEZE,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,NEAR_THRES,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,추천매도가3,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,EXEC_RULE_ID,STOP_PCT,MAX_LOSS_PCT,RR_MULT,STOP_REASON,ENTRY_ACTION,POSITION_PCT,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP_GAP,MACD_Slope_PCT,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,외인순매수,기관순매수,메이저순매수,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,개인순매수,업종_상세,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,STRATEGY,STRATEGY_SCORE,STRATEGY_HORIZON,REASON_THRESHOLD,기준일,시총기준일,AI_COMMENT,LDY_SCORE,TOTAL_SCORE,RANK_SCORE,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,ROW_BUILD_MODE,EST_WIN_RATE,CAL_HOLD_REASON,LOW_WR_FLAG,CALIBRATION_MODE,CAL_N_TRADES,켈리_금액(원),추천수량,CARRY_FROM_DATE,CARRY_AGE_DAYS,IS_STALE_CARRY,STALE_PENALTY,DATA_FRESHNESS_OK,TP1_PCT,CONFIG_VERSION,RUN_STATUS,DEGRADED_REASONS,CONFIDENCE_SCORE,MAX_ALLOWED_ROUTE,AXIS_MCAP,AXIS_BENCH,AXIS_FLOW,AXIS_NEWS,AXIS_SECTOR,AXIS_ML,AXIS_TRIGGER,FALLBACK_COUNT,AXIS_QUALITY,HAS_NEWS,HAS_FLOW,HAS_SECTOR
1,474610,RF시스템즈,KOSDAQ,기타,15770,204.72,2256.3,195.0,248.2,ATTACK,ATTACK,1,True,True,False,86.6,86.6,93.6,79.4,87.1,0.0,24.8,86.7,14.2,82.3,0.14,24.0,밸런스우수 + 3축고점 + 돌입,0,12720.0,10810.0,16480.0,18410.0,,1.04,0.81,10014,43.15,특이사항 없음,0,19.44,70.6,30.14,STRUCT 강점,AI 보조,RSI 과열,기술적 돌파 조건 충족,CAUTION,50.5,기타 금속 가공제품 제조업,20472018260.0,82.7,60.14,0,0,5.48,9.51,28.63,80.02,156.42,232.0,69.41,124.26,174.11,0.0,0.0,1,12.0,1,0,2.42,0.91,19500.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.02,6.0,2.0,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,10892.0,57.47,0.0155,False,O,▲,14524,▲,O,X,0,0,0,0.27,250,0,1,1,1,0.0,기타 금속 가공제품 제조업,9.910260869565217,12.657652173913043,4.0,87.1,OK,53.421696194701134,53.421696194701134,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,86.6,86.6,86.6,32.16,32.16,FRESH,0.666,,False,MATURE,122939.0,2481675.0,195.0,,,,,True,4.5,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
2,161580,필옵틱스,KOSDAQ,조선·기계·설비,48750,475.65,11428.1,47.0,198.5,ATTACK,ATTACK,1,True,True,False,85.7,85.7,94.1,80.8,78.7,0.0,24.3,84.5,15.4,80.8,0.07,16.5,밸런스우수 + 3축고점 + 돌입,0,41850.0,35900.0,49700.0,60300.0,,2.18,3.18,47812,-1.06,특이사항 없음,2,6.47,73.5,22.37,STRUCT 강점,TIMING 보조,RSI 과열,기술적 돌파 조건 충족,CAUTION,50.5,특수 목적용 기계 제조업,47565214400.0,82.9,31.47,0,0,10.05,24.2,30.0,27.95,13.37,31.05,17.34,-18.79,-26.84,0.383,0.358,0,11.7,1,0,2.11,0.94,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,14.22,5.0,1.3,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입+ENTRY:split,split,50.0,1,1,38810.0,1.96,0.4751,False,O,▲,42924,▲,O,X,0,0,0,4.51,250,0,1,1,1,0.0,특수 목적용 기계 제조업,13.262857142857143,10.291142857142857,5.0,78.7,OK,80.6504066459052,80.6504066459052,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,85.7,85.7,85.7,32.16,32.16,FRESH,0.657,,False,MATURE,122939.0,1985095.0,47.0,,,,,True,1.9,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
3,138080,오이솔루션,KOSDAQ,IT/전기전자,45900,303.12,5631.8,0.0,,ATTACK,ATTACK,1,True,True,False,84.9,84.9,100.0,69.9,84.8,0.0,22.9,84.9,30.1,62.4,0.22,0.0,진입적정 + 3축고점 + 돌입,0,45900.0,39000.0,47400.0,62700.0,,-0.29,0.57,33044,11.95,특이사항 없음,0,18.17,73.3,11.92,STRUCT 강점,AI 보조,RSI 과열,기술적 돌파 조건 충족,CAUTION,50.5,통신 및 방송 장비 제조업,30312360925.0,70.7,33.12,0,0,2.91,7.12,4.32,45.25,198.05,250.38,34.64,165.89,192.49,0.0,0.0,1,12.0,1,0,2.01,0.9,67700.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,v1_sl_first_gap_at_open,15.03,5.0,0.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,32355.0,38.91,0.0032,False,O,▲,44026,▲,O,X,0,0,0,0.22,250,0,1,1,1,0.0,통신 및 방송 장비 제조업,16.630454545454544,28.787181818181818,2.0,84.8,OK,37.74091288050418,37.74091288050418,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,84.9,84.9,84.9,32.16,32.16,FRESH,0.649,,False,MATURE,122939.0,0.0,,,,,,True,3.3,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
4,171090,선익시스템,KOSDAQ,조선·기계·설비,100900,246.67,10193.5,0.0,,ATTACK,ATTACK,1,True,True,False,77.0,77.0,75.1,96.7,41.2,0.0,19.7,71.0,55.5,30.6,0.22,1.5,진입적정 + 돌입,0,99400.0,84400.0,104600.0,144000.0,🚀급등시동,-1.73,1.55,94059,69.64,특이사항 없음,0,1.26,65.4,13.56,TIMING 강점,STRUCT 보조,5일 급등,기술적 돌파 조건 충족,CAUTION,50.5,특수 목적용 기계 제조업,24666686050.0,69.9,26.15,0,0,3.7,23.2,12.11,6.32,91.1,116.76,-4.29,58.94,58.87,0.299,0.097,1,12.0,1,0,1.93,0.85,169500.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,15.09,5.0,0.3,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,-1,105780.0,7.27,0.6673,False,O,▲,91394,▲,O,X,0,0,0,1.34,250,0,1,1,1,0.0,특수 목적용 기계 제조업,13.262857142857143,10.291142857142857,5.0,41.2,OK,83.44670628662146,83.44670628662146,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,77.0,77.0,77.0,32.16,32.16,FRESH,0.57,,False,MATURE,122939.0,0.0,,,,,,True,3.7,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
5,250060,모비스,KOSDAQ,IT/전기전자,5640,249.83,1814.5,18.0,9.3,ATTACK,ATTACK,1,True,True,False,65.8,65.8,63.3,69.9,62.5,0.0,19.5,65.2,7.4,90.8,0.18,13.4,밸런스우수 + 돌입,0,4975.0,4225.0,5900.0,9440.0,🚀급등시동,1.15,3.27,5692,-3.4,특이사항 없음,0,0.72,68.1,19.09,TIMING 강점,STRUCT 보조,5일 급등,기술적 돌파 조건 충족,CAUTION,50.5,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",24982598795.0,85.3,37.96,0,0,7.22,17.87,30.86,22.21,-3.26,97.89,11.6,-35.42,40.0,0.145,0.132,0,12.0,1,0,3.52,0.85,,SWING_20D,80,SWING_60D,60,,0,v1_sl_first_gap_at_open,15.08,6.0,1.2,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,4348.0,-0.92,0.251,False,O,▲,5358,▲,O,X,0,0,0,0.95,250,0,1,1,1,0.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",16.630454545454544,28.787181818181818,2.0,62.5,OK,55.595192702547465,55.595192702547465,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,65.8,65.8,65.8,32.16,32.16,FRESH,0.458,,False,MATURE,122939.0,92702.0,18.0,,,,,True,4.6,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
6,373220,LG에너지솔루션,KOSPI,2차전지,429000,2423.17,1003860.0,5.0,250.0,ARMED,ARMED,2,True,False,False,91.4,91.4,93.6,100.0,69.7,0.0,83.6,87.8,30.3,62.1,2.65,0.0,RR2.6 + 진입적정 + 3축고점 + 대기,1,429000.0,392000.0,527000.0,559000.0,🚀급등시동,0.96,1.37,400581,4.2,특이사항 없음,1,9.02,66.2,5.76,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,50.5,일차전지 및 이차전지 제조업,242316849250.0,71.5,10.78,1,0,2.63,6.85,4.0,20.51,6.45,-4.13,9.9,-25.71,-62.02,0.263,0.126,1,7.2,1,0,1.26,0.91,,SWING_120D,45,RR_LEGACY,35,,0,v1_sl_first_gap_at_open,8.62,4.0,2.6,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,384000.0,7.09,0.0662,False,O,▲,414982,▲,O,X,73788,3003,76791,0.36,250,0,1,-1,1,0.0,일차전지 및 이차전지 제조업,12.817692307692308,25.17615384615385,3.0,69.7,OK,78.85713248721117,78.85713248721117,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,91.4,91.4,91.4,32.16,32.16,FRESH,0.714,,False,MATURE,122939.0,2500000.0,5.0,,,,,True,22.8,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
7,450080,에코프로머티,KOSPI,2차전지,77100,2953.75,54400.8,0.0,,ARMED,ARMED,2,True,False,False,89.0,89.0,99.5,100.0,45.9,0.0,22.4,81.8,54.1,32.4,0.26,1.6,진입적정 + 3축고점 + 대기,0,75900.0,66000.0,80000.0,92100.0,🚀급등시동,0.65,1.97,69784,5.06,특이사항 없음,2,9.19,66.4,7.53,TIMING 강점,STRUCT 보조,,스퀴즈/품질 대기,CAUTION,50.5,일차전지 및 이차전지 제조업,295374755200.0,81.7,14.95,1,0,4.61,8.59,11.9,26.39,25.37,17.89,15.78,-6.79,-40.0,0.0,0.0,1,12.0,1,0,1.57,0.83,95400.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.618,25,v1_sl_first_gap_at_open,13.04,4.0,0.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,64230.0,10.48,0.0488,False,O,▲,73238,▲,O,X,6168,1002,7170,0.54,250,0,1,1,1,0.0,일차전지 및 이차전지 제조업,12.817692307692308,25.17615384615385,3.0,45.9,OK,81.04079276056979,81.04079276056979,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,89.0,89.0,89.0,32.16,32.16,FRESH,0.69,,False,MATURE,122939.0,0.0,,,,,,True,3.8,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
8,368770,파이버프로,KOSDAQ,기타,25700,354.78,8443.5,100.0,234.0,ARMED,ARMED,2,True,False,False,85.4,85.4,94.8,75.5,86.3,0.0,24.0,85.5,19.3,75.9,0.73,9.8,3축고점 + 대기,0,23400.0,19880.0,29950.0,33750.0,,0.51,0.42,19924,12.8,특이사항 없음,1,17.41,70.0,15.38,STRUCT 강점,AI 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,50.5,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",35478126000.0,73.4,35.78,1,0,-3.02,11.26,16.55,56.23,64.22,346.96,45.62,32.06,289.07,0.094,0.094,1,12.0,0,0,2.75,0.68,34900.0,SWING_20D,80,ATR_3.5x,45,FIBO_1.272,40,v1_sl_first_gap_at_open,15.04,5.0,1.9,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,17739.0,28.99,0.2074,False,O,▲,24300,▲,O,X,0,0,0,0.19,250,0,1,1,1,0.0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",9.910260869565217,12.657652173913043,4.0,86.3,OK,47.0,47.0,8,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,85.4,85.4,85.4,32.16,32.16,FRESH,0.654,,False,MATURE,122939.0,2340290.0,100.0,,,,,True,16.5,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
9,006340,대원전선,KOSPI,기타,6480,581.36,5081.3,291.0,170.4,ARMED,ARMED,2,True,False,False,81.7,81.7,89.0,85.4,59.9,0.0,22.3,78.1,29.1,63.6,0.39,10.8,대기,0,5850.0,4970.0,7070.0,7490.0,,1.75,1.24,5807,74.6,특이사항 없음,0,2.58,68.9,16.32,STRUCT 강점,TIMING 보조,5일 급등,스퀴즈/품질 대기,CAUTION,50.5,절연선 및 케이블 제조업,58135548585.0,87.9,36.14,0,0,4.68,19.78,24.38,13.49,71.66,108.36,2.88,39.5,50.47,0.029,0.029,1,12.0,0,0,4.64,0.73,7680.0,SWING_20D,80,SWING_60D,60,ATR_3.5x,45,v1_sl_first_gap_at_open,15.04,5.0,1.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,5143.5,11.58,0.4761,False,O,▲,6192,▲,O,X,0,0,0,-0.32,250,0,1,1,1,0.0,절연선 및 케이블 제조업,9.910260869565217,12.657652173913043,4.0,59.9,OK,59.90330197061438,59.90330197061438,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,81.7,81.7,81.7,32.16,32.16,FRESH,0.617,,False,MATURE,122939.0,1703688.0,291.0,,,,,True,9.1,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
10,457190,이수스페셜티케미컬,KOSPI,화학·소재,111600,505.31,33724.3,14.0,150.1,ARMED,ARMED,2,True,False,False,79.1,79.1,96.3,92.3,18.5,0.0,18.1,69.0,77.8,2.8,0.32,10.0,대기,0,101500.0,89200.0,118800.0,124500.0,,1.43,1.26,101547,11.19,특이사항 없음,0,7.88,74.7,15.4,STRUCT 강점,TIMING 보조,RSI 과열,스퀴즈/품질 대기,CAUTION,50.5,기초 화학물질 제조업,50530576000.0,83.6,26.97,0,0,0.09,16.25,15.29,31.76,33.65,94.09,21.15,1.49,36.2,0.025,0.025,1,11.4,1,0,2.18,0.78,137000.0,SWING_20D,80,SWING_60D,60,FIBO_1.272,40,v1_sl_first_gap_at_open,12.12,5.0,1.4,NORMAL+PM_BLOCK_INTRADAY+EF:정상,enter,100.0,1,1,94320.0,9.9,0.3075,False,O,▲,105061,▲,O,X,0,0,0,0.45,250,0,1,1,1,0.0,기초 화학물질 제조업,8.233777777777778,9.924888888888889,8.0,18.5,OK,66.0,66.0,6,1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,default,default,default,60,20260420,20260420,,79.1,79.1,79.1,32.16,32.16,FRESH,0.591,,False,MATURE,122939.0,1501040.0,14.0,,,,,True,6.5,2.1.0,OK,,100.0,ATTACK,OK,OK,OK,OK,OK,OK,OK,0,7,True,True,True
